AliasName,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
AlBIbdvPosFail,ALBIBDVPOSFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlBlrExPrsAif,ALBLREXPRSAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlBrnRegDpAif,ALBRNREGDPAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlBrnrStmFlwAif,ALBRNRSTMFLWAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlCabIntTmpAif,ALCABINTTMPAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlCabTmpHi,ALCABTMPHI,Boolean,1,R/W,100,,,,,,,,,,,
AlCabTmpHiHi,ALCABTMPHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlCabTmpLo,ALCABTMPLO,Boolean,1,R/W,100,,,,,,,,,,,
AlCabTmpLoLo,ALCABTMPLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlCbdFlwAif,ALCBDFLWAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlCbdvPosFail,ALCBDVPOSFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlCfgErr,ALCFGERR,Boolean,1,R/W,100,,,,,,,,,,,
AlCombAirFlwAif,ALCOMBAIRFLWAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlCombAirFlwBAif,ALCOMBAIRFLWBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlCombAirFlwDev,ALCOMBAIRFLWDEV,Boolean,1,R/W,100,,,,,,,,,,,
AlCombAirInTmpAif,ALCOMBAIRINTMPAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlCombAirPhTmpAif,ALCOMBAIRPHTMPAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlCombAirPrsAif,ALCOMBAIRPRSAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDaFrvTripClose,ALDAFRVTRIPCLOSE,Boolean,1,R/W,100,,,,,,,,,,,
AlDalErrNeg,ALDALERRNEG,Boolean,1,R/W,100,,,,,,,,,,,
AlDalErrPos,ALDALERRPOS,Boolean,1,R/W,100,,,,,,,,,,,
AlDalLvlHi,ALDALLVLHI,Boolean,1,R/W,100,,,,,,,,,,,
AlDalLvlHiHi,ALDALLVLHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlDalLvlLo,ALDALLVLLO,Boolean,1,R/W,100,,,,,,,,,,,
AlDalLvlLoLo,ALDALLVLLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlDalOlh,ALDALOLH,Boolean,1,R/W,100,,,,,,,,,,,
AlDalOll,ALDALOLL,Boolean,1,R/W,100,,,,,,,,,,,
AlDalPvHi,ALDALPVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlDalPvLo,ALDALPVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlDalPvSrcFail,ALDALPVSRCFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlDalSpLimErr,ALDALSPLIMERR,Boolean,1,R/W,100,,,,,,,,,,,
AlDalSpor,ALDALSPOR,Boolean,1,R/W,100,,,,,,,,,,,
AlDaLvl2Aif,ALDALVL2AIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDaLvl3Aif,ALDALVL3AIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDaLvlAif,ALDALVLAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDaOfvTripClose,ALDAOFVTRIPCLOSE,Boolean,1,R/W,100,,,,,,,,,,,
AlDapErrNeg,ALDAPERRNEG,Boolean,1,R/W,100,,,,,,,,,,,
AlDapErrPos,ALDAPERRPOS,Boolean,1,R/W,100,,,,,,,,,,,
AlDapOlh,ALDAPOLH,Boolean,1,R/W,100,,,,,,,,,,,
AlDapOll,ALDAPOLL,Boolean,1,R/W,100,,,,,,,,,,,
AlDapPvHi,ALDAPPVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlDapPvLo,ALDAPPVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlDapPvSrcFail,ALDAPPVSRCFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlDaPrsAif,ALDAPRSAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDapSpLimErr,ALDAPSPLIMERR,Boolean,1,R/W,100,,,,,,,,,,,
AlDapSpor,ALDAPSPOR,Boolean,1,R/W,100,,,,,,,,,,,
AlDaStmFlwAif,ALDASTMFLWAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDataLoss,ALDATALOSS,Boolean,1,R/W,100,,,,,,,,,,,
AlDaWtrLcvPosFbAif,ALDAWTRLCVPOSFBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDet1Osr,ALDET1OSR,Boolean,1,R/W,100,,,,,,,,,,,
AlDet2Osr,ALDET2OSR,Boolean,1,R/W,100,,,,,,,,,,,
AlDet3Osr,ALDET3OSR,Boolean,1,R/W,100,,,,,,,,,,,
AlDet4Osr,ALDET4OSR,Boolean,1,R/W,100,,,,,,,,,,,
AlDet5Osr,ALDET5OSR,Boolean,1,R/W,100,,,,,,,,,,,
AlDet6Osr,ALDET6OSR,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmErrNeg,ALDRMERRNEG,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmErrPos,ALDRMERRPOS,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLfwp,ALDRMLFWP,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvl1Dev,ALDRMLVL1DEV,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvl2Dev,ALDRMLVL2DEV,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvl3Dev,ALDRMLVL3DEV,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvlAif,ALDRMLVLAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvlBAif,ALDRMLVLBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvlDev,ALDRMLVLDEV,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvlDp1Aif,ALDRMLVLDP1AIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvlDp2Aif,ALDRMLVLDP2AIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmLvlDp3Aif,ALDRMLVLDP3AIF,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmOlh,ALDRMOLH,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmOll,ALDRMOLL,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmPvHi,ALDRMPVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmPvLo,ALDRMPVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmPvSrcFail,ALDRMPVSRCFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmSpLimErr,ALDRMSPLIMERR,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmSpor,ALDRMSPOR,Boolean,1,R/W,100,,,,,,,,,,,
AlDrmStmFlwFail,ALDRMSTMFLWFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlFarDevHi,ALFARDEVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFarDevHiHi,ALFARDEVHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFarDevLo,ALFARDEVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFarDevLoLo,ALFARDEVLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFarErrNeg,ALFARERRNEG,Boolean,1,R/W,100,,,,,,,,,,,
AlFarErrPos,ALFARERRPOS,Boolean,1,R/W,100,,,,,,,,,,,
AlFarOlh,ALFAROLH,Boolean,1,R/W,100,,,,,,,,,,,
AlFarOll,ALFAROLL,Boolean,1,R/W,100,,,,,,,,,,,
AlFarPvHi,ALFARPVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFarPvHiHi10,ALFARPVHIHI10,Boolean,1,R/W,100,,,,,,,,,,,
AlFarPvHiHi15,ALFARPVHIHI15,Boolean,1,R/W,100,,,,,,,,,,,
AlFarPvLo,ALFARPVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFarPvLoLo10,ALFARPVLOLO10,Boolean,1,R/W,100,,,,,,,,,,,
AlFarPvLoLo15,ALFARPVLOLO15,Boolean,1,R/W,100,,,,,,,,,,,
AlFarPvSrcFail,ALFARPVSRCFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlFarSpLimErr,ALFARSPLIMERR,Boolean,1,R/W,100,,,,,,,,,,,
AlFarSpor,ALFARSPOR,Boolean,1,R/W,100,,,,,,,,,,,
AlFddDevHi,ALFDDDEVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFddDevHiHi,ALFDDDEVHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFddDevLo,ALFDDDEVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFddDevLoLo,ALFDDDEVLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFddPosFbAif,ALFDDPOSFBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfDevHi,ALFDFDEVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfDevHiHi,ALFDFDEVHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfDevLo,ALFDFDEVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfDevLoLo,ALFDFDEVLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfSpdFbAif,ALFDFSPDFBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfTmpAAif,ALFDFTMPAAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfTmpBAif,ALFDFTMPBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfVibAAif,ALFDFVIBAAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdfVibBAif,ALFDFVIBBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw1SpdDevHi,ALFDW1SPDDEVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw1SpdDevHiHi,ALFDW1SPDDEVHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw1SpdDevLo,ALFDW1SPDDEVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw1SpdDevLoLo,ALFDW1SPDDEVLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw1SpdFbAif,ALFDW1SPDFBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw2SpdDevHi,ALFDW2SPDDEVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw2SpdDevHiHi,ALFDW2SPDDEVHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw2SpdDevLo,ALFDW2SPDDEVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw2SpdDevLoLo,ALFDW2SPDDEVLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw2SpdFbAif,ALFDW2SPDFBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw2TmpAAif,ALFDW2TMPAAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw2TmpBAif,ALFDW2TMPBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdw2VibBAif,ALFDW2VIBBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwErrNeg,ALFDWERRNEG,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwErrPos,ALFDWERRPOS,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwFcvDevHi,ALFDWFCVDEVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwFcvDevHiHi,ALFDWFCVDEVHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwFcvDevLo,ALFDWFCVDEVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwFcvDevLoLo,ALFDWFCVDEVLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwFcvPosFbAif,ALFDWFCVPOSFBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwFlwAif,ALFDWFLWAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwOlh,ALFDWOLH,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwOll,ALFDWOLL,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPmp1Fail,ALFDWPMP1FAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPmp1Trip,ALFDWPMP1TRIP,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPmp2Fail,ALFDWPMP2FAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPmp2Trip,ALFDWPMP2TRIP,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPrsAif,ALFDWPRSAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPrsEconInAif,ALFDWPRSECONINAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPrsRecircAif,ALFDWPRSRECIRCAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPvHi,ALFDWPVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPvLo,ALFDWPVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwPvSrcFail,ALFDWPVSRCFAIL,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwSpLimErr,ALFDWSPLIMERR,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwSpor,ALFDWSPOR,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwTmpEconInAif,ALFDWTMPECONINAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFdwTmpEconOutAif,ALFDWTMPECONOUTAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFgBlrOutTmpAif,ALFGBLROUTTMPAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFgOxAif,ALFGOXAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFgrfDevHi,ALFGRFDEVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFgrfDevHiHi,ALFGRFDEVHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFgrfDevLo,ALFGRFDEVLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFgrfDevLoLo,ALFGRFDEVLOLO,Boolean,1,R/W,100,,,,,,,,,,,
AlFgrfSpdFbAif,ALFGRFSPDFBAIF,Boolean,1,R/W,100,,,,,,,,,,,
AlFgrRatioDevHi,ALFGRRATIODEVHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFgrRatioDevHiHi,ALFGRRATIODEVHIHI,Boolean,1,R/W,100,,,,,,,,,,,
AlFgrRatioDevLo,ALFGRRATIODEVLO,Boolean,1,R/W,100,,,,,,,,,,,
